ID;Mnemonic name;Papers;Collaboration subject;Multi-views;Multi-view scenarios;Language-specific;Language(s) adaptation;Modeling framework;Reuse support;Validation support;Editor type;Client type;Tool support - CLIENT;Workspace awareness;Roles;Approach-specific stakeholders;Stakeholder types;Collaborating parties;Collaboration types;Collaboration workflow;Diff/merge domain;Versioning support;VCS architecture;Branching;Model merging support;Conflict detection;Conflict resolution support;Consistency model;Conflict awareness - user;Conflict mgmt approach;Locking;Network architecture;Shared workspace;Communication type;Communication means - builtin;Communication means - external;Communication means - mixed;Communication means links;Design decision: discussion;Design decision: session history
25;CAISE;1;M1;;MULTI-USER SINGLE-VIEW;UML;;CUSTOM;;;GRA;DESKTOP;INS;HSE, UPED, POINTERS;;;TECH;HUMAN-HUMAN;SYNCH;PART;SYNTACTIC;;;;;YES;;STRONG;;;PESSIMISTIC: TOTLOCK;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT, AUDIO;;;;CHAT, AUDIO;
9;CAMEL;1;M1;;MULTI-VIEW SINGLE-MODEL;UML;;UML, FREE-STYLE SKETCH;;;GRA, SKE;DESKTOP;INS;UPED, USERS, OVER, COLORS, WHITEBOARD;FACILITATOR;;TECH;HUMAN-HUMAN;SYNCH;YES;SYNTACTIC;;;;;YES;;STRONG;WARNING;;PESSIMISTIC: PARTLOCK;CENTRALIZED: MULTIPLE SERVERS;REMOTE;SYNCHRONOUS;CHAT, CALLATTENTION, STICKYNOTES;;;CHAT, STICKYNOTES;CHAT, STICKYNOTES;YES
18;CE4WEB;1;M1;;MULTI-USER SINGLE-VIEW;UML;;UML;;;GRA;DESKTOP;RTU;USERS, POINTERS, NTF, UPED;;;TECH;HUMAN-HUMAN;SYNCH;PART;SYNTACTIC;ADHOC;CENTRALIZED;YES;;;;STRONG;;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT, ANNOTATIONS;;;ANNOTATIONS;CHAT;YES
C12;CMSPEM;1;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;;;SPEM;;;;DESKTOP;;;USER, PROJECTLEADER;CUSTOMER, ENGINEERS, BUSINESS STAKEHOLDERS;TECH;HUMAN-HUMAN;OFF-LINE MANUAL CHANGE PROPAGATION;YES;SYNTACTIC;;;;;;MANUAL;EVENTUAL;;ALLOW&RESOLVE;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;FEEDBACK, PROPOSALS, COMMENTS;COMMIT MESSAGES;;;;
32;COLLECT-UML;1;M1;;MULTI-USER SINGLE-VIEW;UML;;UML;;CONSTRAINTS;GRA;BROWSER;RTU;UPED, USERS;FACILITATOR;;TECH;HUMAN-HUMAN;SYNCH;YES;SYNTACTIC;;;;;;;STRONG;;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT;;;;CHAT;YES
30;COMA;3;M1;;MULTI-USER SINGLE-VIEW;UML;;CUSTOM;FRAG;;GRA;DESKTOP;INS;USERS;FACILITATOR_CONF;;TECH;HUMAN-HUMAN;ASYNC;YES;SYNTACTIC;;;;;;MANUAL;EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;SAMEPLACE, REMOTE;ASYNCHRONOUS;COMMENTS, PROPOSALS, VOTING, ANNOTATIONS;VOICE, AVTOOL;;ANNOTATIONS;VOICE, AVTOOL;
C26;CHATBOTS;5;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;;;CUSTOM;;RULES;TEX, GRA;MOBILE;RTU;UPED, NTF;BUSINESS STAKEHOLDER, MODELER, SOFTWARE ENGINEER;BOT;NONTECH, TECH;HUMAN-MACHINE, HUMAN-HUMAN;REAL-TIME;YES;SYNTACTIC;;;;;YES;;STRONG;;PREVENTIVE;;MIXED;REMOTE;SYNCHRONOUS;CHAT, NATURAL LANGUAGE, COMMANDS, AUDIO;COMMIT MESSAGES, EMAIL;;CHAT, COMMANDS, NATURAL LANGUAGE;NATURAL LANGUAGE, AUDIO;YES
44;CHEETAH;1;M1;;MULTI-USER SINGLE-VIEW;BPMN;;CUSTOM;;;GRA;DESKTOP;INS;UPED, USERS, COLORS, HSE, HCE, USER_ACTION;;DOMAIN EXPERT, MODEL ENGINEER;TECH, NONTECH;HUMAN-HUMAN;SYNCH;YES;SYNTACTIC;;;;;YES;MANUAL;EVENTUAL;WARNING;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT;;;CHAT;CHAT;YES
29;COARGOUML;2;M1;;MULTI-USER SINGLE-VIEW;UML;;CUSTOM;;;GRA;DESKTOP;INS;UPED, POINTERS, LOCK;;;TECH;HUMAN-HUMAN;SYNCH;PART;SYNTACTIC;;;;;;;STRONG;;;PESSIMISTIC: PARTLOCK;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT;;;;CHAT;
17;CODESIGN;1;M1;;MULTI-USER SINGLE-VIEW;;IMPORT;UML, FINAL STATE MACHINE MODELING TOOL;;OCLCHECKER;EXTERN_ADAPT;DESKTOP;INS;NTF, UPED;;ARCHITECT;TECH;HUMAN-HUMAN;SYNCH;YES;SYNTACTIC;;;;;YES;MANUAL;EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;REMOTE;;;;;;;
24;COMBM;1;M1;SYNTHETIC;MULTI-VIEW SINGLE-MODEL;BPMN;;CUSTOM;;;GRA, TEX;DESKTOP;;NTF, HCE, UPED;;;TECH;HUMAN-HUMAN;SYNCH;YES;SYNTACTIC;;;;;YES;MANUAL, AUTO;EVENTUAL;PROMPT ACTION;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT;;;;CHAT;
C15;COLLABORATIVECTT;1;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;;;COLLABORATIVE CTT;;;GRA;BROWSER;RTU;HSE, LOCK, NTF, OVER, POINTERS;ADMIN, READER, USER;NONTECH, DEVELOPER, DESIGNER, MODELING EXPERT, USER, MODEL-ENGINEER;TECH, NONTECH;HUMAN-HUMAN;REAL-TIME;YES;SYNTACTIC;;;;;;;STRONG EVENTUAL;;PREVENTIVE;PESSIMISTIC: PARTLOCK;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT, CALLFORATTENTION, VOTING;EMAIL, HYPERLINKS;;CHAT, CALLFORATTENTION, VOTING;CHAT;
C4;COLLABORO;1;M2, M1;SYNTHETIC;MULTI-VIEW SINGLE-MODEL;;IMPORT;EMF;;RULES, RECOMMENDERS;TREE, TAB;BROWSER, DESKTOP;RTU;VCS;LANGUAGE ENGINEER, COMMUNITY MANAGER, USER;NONTECH, DEVELOPER, USER, MODELING EXPERT, COMMUNITY MANAGER;TECH, NONTECH;HUMAN-HUMAN;REAL-TIME;YES;SYNTACTIC;INTERNAL: MODELS;CENTRALIZED;;;YES;SEMIAUTOMATED;STRONG;WARNING;ALLOW&RESOLVE;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;PROPOSALS, REVIEWS, CONFLICTSLIST, VOTING, FEEDBACK;;;;YES;YES
C9;CROSSIDE;1;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;;;CUSTOM;;;GRA;BROWSER, MOBILE, DESKTOP;RTU;;UI DESIGNER;UI DESIGNER;TECH, NONTECH;HUMAN-HUMAN;REAL-TIME;YES;;;;;;;;STRONG;;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;COMMENTS, NOTES;FACE-TO-FACE;;NOTES;COMMENTS;
C1;CROWDUI;1;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;;;CUSTOM;WHOLE;;GRA;BROWSER;RTU;HSE;MODELER, USER;NONTECH, USER, DEVELOPER, UI DESIGNER, APP DEVELOPER, DESIGNER;TECH, NONTECH;HUMAN-HUMAN;OFF-LINE MANUAL CHANGE PROPAGATION;YES;SYNTACTIC;;;;;;SEMIAUTOMATED;EVENTUAL;;;;CENTRALIZED: MULTIPLE SERVERS;REMOTE;ASYNCHRONOUS;ANNOTATIONS, COMMENTS, REVIEWS, FEEDBACK, VOTING;EMAIL;HYPERLINKS;;;
36;D-PRAXIS;1;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;UML;;UML;;;;DESKTOP;INS;USERS, UPED;;;TECH;HUMAN-HUMAN;ASYNCOMMIT;YES;SYNTACTIC;;;;;YES;AUTO;EVENTUAL;;;;P2P;REMOTE;;;;;;;
33;DICOMEF;3;M1, M2;;MULTI-VIEW SINGLE-MODEL;;COLL_DEFINITION;EMF;;OCLCHECKER;TREE;DESKTOP;INS;HCE, NTF;CONTROLLER, VIRTUALCONTROLLER, EDITOR, READER;;TECH;HUMAN-HUMAN;ASYNC;YES;SYNTACTIC;ADHOC;DISTRIBUTED;YES;YES;YES;MANUAL, AUTO;STRONG;WARNING;;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;PROPOSALS;;MULTIMEDIAANNOTATIONS;MULTIMEDIAANNOTATIONS;;
23;DISCOM;1;M1;;MULTI-USER SINGLE-VIEW;;IMPORT;CUSTOM;;;EXTERNAL;BROWSER;;NTF;MORERIGHTSUSER, LESSRIGHTSUSER;;TECH;HUMAN-HUMAN;SYNCH, ASYNC;PART;SYNTACTIC;ADHOC;CENTRALIZED;;YES;YES;MANUAL, AUTO;EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;REMOTE;;;;;;;
47;FLAME;3;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;XTEAM;IMPORT;CUSTOM, GME;;RULES;GRA, TREE;DESKTOP;INS, RTU;NTF, HCE, VCS, CONFLICTLIST;ARCHITECT;ARCHITECT, ARCHITECTS;TECH;HUMAN-HUMAN;ASYNC, REAL-TIME;YES;SYNTACTIC, SEMANTIC;EXTERNAL: MODELS;CENTRALIZED;;YES;YES;MANUAL, SEMIAUTOMATED;EVENTUAL, STRONG EVENTUAL;WARNING;PREVENTIVE;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;;EMAIL, EXTERNALCHAT, COMMIT MESSAGES;;;EMAIL, CHAT;
2;FLEXISKETCH;5;M1, M2;SYNTHETIC;MULTI-USER SINGLE-VIEW;;INFER;AD HOC, CUSTOM;ELEM (M2);CRITICS;SKE, GRA;MOBILE, DESKTOP;INS;UPED, HSE, LOCK;SOFTWARE ENGINEER, MODELER;;NONTECH, TECH;HUMAN-HUMAN;SYNCH, REAL-TIME;PART;SYNTACTIC;;;;YES;YES;SEMIAUTOMATED;STRONG;;PREVENTIVE;PESSIMISTIC: PARTLOCK;CENTRALIZED: SINGLE SERVER;SAMEPLACE, REMOTE;SYNCHRONOUS, ASYNCHRONOUS;FEEDBACK;VOICE, HANDGESTURES, EMAIL, FACE-TO-FACE;;;VOICE, HANDGESTURES, EMAIL, FACE-TO-FACE;
C6;GDM;3;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;;IMPORT;EMF;;RULES;TEX, TAB;BROWSER;INS;CONFLICTLIST;MODELER;;TECH;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;YES;SYNTACTIC;;;;;;;EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;SAMEPLACE;ASYNCHRONOUS;PROPOSALS;COMMIT MESSAGES;;PROPOSALS;PROPOSALS;YES
11;GEMSJAX;1;M1, M2;;MULTI-USER SINGLE-VIEW;;COLL_DEFINITION;EMF;WHOLE;;GRA;BROWSER;RTU;UPED, HSE;ADMIN, READER, USER;;TECH;HUMAN-HUMAN;SYNCH;YES;SYNTACTIC;;;;;YES;;STRONG;;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT;;;CHAT;CHAT;
7;GENMYMODEL;3;M1;;MULTI-VIEW SINGLE-MODEL;UML, BPMN, ER, JPA, ECORE, FLOWCHART;;UML;;;GRA, TREE;BROWSER;RTU;UPED, USERS, COLORS, HSE, NTF;;;TECH;HUMAN-HUMAN;SYNCH;;SYNTACTIC;;;;;YES;;STRONG;WARNING;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;ANNOTATIONS, CHAT;;;ANNOTATIONS;CHAT;YES
27;GROUPUML;2;M1;;MULTI-USER SINGLE-VIEW;UML;;CUSTOM;;;GRA, SKE;DESKTOP;INS;HSE, USERS, COLORS, UPED;;;TECH;HUMAN-HUMAN;SYNCH;;SYNTACTIC;;;;;;;EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT, COMMENTS, ANNOTATIONS, CONFLICTSTABLE;;;ANNOTATIONS;CHAT, CONFLICTSTABLE;YES
C29;HORVATH;1;M1, M2;SYNTHETIC;MULTI-VIEW MULTI-MODEL;;;VIATRA;;RULES;TEX;BROWSER;;VCS;MODELER, TRANSFORMATION DEVELOPER;DEVELOPER, TRANSFORMATION DEVELOPER, MODELER;TECH;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;;SYNTACTIC;EXTERNAL: MODELS;CENTRALIZED;;;YES: INCREMENTAL;;STRONG;;;;CENTRALIZED: MULTIPLE SERVERS;REMOTE;ASYNCHRONOUS;;;;;;
8;IBM DM;1;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;;EX, IMPORT;UML, BPMN, SYSML, FREE-FORM SKETCHES, TEXT;;;GRA, TREE, SKE;BROWSER;RTU, INS;LOCK, DASHBOARD;YES;;TECH;HUMAN-HUMAN;ASYNC;YES;SYNTACTIC;ADHOC;CENTRALIZED;YES;YES;YES;MANUAL;STRONG;;;;CENTRALIZED: MULTIPLE SERVERS;REMOTE;ASYNCHRONOUS;COMMENTS, ANNOTATIONS, REVIEWS;;;COMMENTS, ANNOTATIONS;COMMENTS;YES
1;JAZZ;4;M1;;MULTI-USER SINGLE-VIEW;;IMPORT;EMF;;;EXTERNAL;DESKTOP;INS;VCS;INTEGRATOR_CONF;;TECH;HUMAN-HUMAN;ASYNC;YES;SYNTACTIC;ADHOC;CENTRALIZED;;YES;YES;MANUAL;STRONG;WARNING;;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;;;;;;
43;KNIGHT;3;M1;;MULTI-USER SINGLE-VIEW;UML;;CUSTOM;;;GRA, SKE;DESKTOP;INS;UPED, HSE, POINTERS, USERS, OVER;;;TECH;HUMAN-HUMAN;SYNCH;PART;SYNTACTIC;;;;;;;EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT;;;;CHAT;
28;KRUSCHE;1;M1;;MULTI-USER SINGLE-VIEW;;IMPORT;EMF;;;EXTERN_ADAPT;DESKTOP;INS;LOCK, NTF;;;TECH;HUMAN-HUMAN;SYNCH, ASYNC;YES;SYNTACTIC;MODELS;CENTRALIZED;YES;YES;YES;MANUAL;STRONG;WARNING;;PESSIMISTIC: PARTLOCK;MIXED;SAMEPLACE, REMOTE;;;VOICE, AVTOOL;;;VOICE, AVTOOL;
35;LARGEMDE;3;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;UML;;CUSTOM;PACK;OCLCHECKER;GRA;DESKTOP;RTU;VCS;;;TECH;HUMAN-HUMAN;ASYNC;PART;SYNTACTIC;GENERIC;CENTRALIZED;YES;YES;YES;MANUAL;EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;REMOTE;;;;;;;
26;LIBRA-ON-CHAT;3;M1;;MULTI-USER SINGLE-VIEW;UML;;UML;;;GRA;DESKTOP;INS;UPED;;;TECH;HUMAN-HUMAN;SYNCH;PART;SYNTACTIC;;;;;;;EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT, ANNOTATIONS;;;CHAT, ANNOTATIONS;CHAT;YES
C22;MONDO;5;M1;SYNTHETIC;MULTI-VIEW MULTI-MODEL;;IMPORT;EMF;FRAG;RULES;GRA, TREE, TEX, TAB;DESKTOP;INS;VCS;MODELER, INTEGRATOR;;TECH;HUMAN-HUMAN;REAL-TIME, OFF-LINE MANUAL CHANGE PROPAGATION;PARTIAL;SYNTACTIC;EXTERNAL: MODELS;CENTRALIZED;;YES;YES: INCREMENTAL;SEMIAUTOMATED;STRONG;WARNING;ALLOW&RESOLVE;PESSIMISTIC: PARTLOCK;CENTRALIZED: MULTIPLE SERVERS;REMOTE;ASYNCHRONOUS;;;;;;
12;METAEDIT+;5;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;;IMPORT;GOPRR, CUSTOM;ELEM;RULES;GRA, TAB, TREE;DESKTOP;INS;LOCK, VCS, HCE;MODELER;;TECH;HUMAN-HUMAN;ASYNC, OFF-LINE AUTOMATED CHANGE PROPAGATION;PART;SYNTACTIC;EXTERNAL: GENERIC VCS;DISTRIBUTED;MULTI-BRANCHING;;YES;SEMIAUTOMATED;STRONG EVENTUAL;;ALLOW&RESOLVE;PESSIMISTIC: PARTLOCK;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;COMMENTS, ANNOTATIONS;;COMMIT MESSAGES;COMMENTS, ANNOTATIONS, COMMIT MESSAGES;COMMENTS;YES
46;MOVE;2;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;;IMPORT;CUSTOM;;OCLCHECKER;EXTERN_ADAPT;DESKTOP;INS;VCS, NTF;METAMODELDESIGNER, MODELER;;TECH;HUMAN-HUMAN;ASYNC;PART;SYNTACTIC;GENERIC;CENTRALIZED;;YES;YES;MANUAL;STRONG;;;;CENTRALIZED: SINGLE SERVER;REMOTE;;;;;;;
14;MOBML;2;M1;SYNTHETIC;MULTI-VIEW SINGLE-MODEL;;EX, IMPORT;MOBML;WHOLE;;GRA;BROWSER;RTU;UPED, NTF;ADMIN, USER;NONTECH, DESIGNER, DEVELOPER, USER, CUSTOMER, INFORMATION ARCHITECT, UI DESIGNER, APP DEVELOPER, BACKEND DEVELOPER, CONTENT PRODUCER, PROJECT MANAGER;TECH, NONTECH;HUMAN-HUMAN;SYNCH;YES;SYNTACTIC;;;;;YES;;STRONG EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;;;;;;
5;MODELBUS;3;M1;;MULTI-VIEW MULTI-MODEL;;INFER;UML AND DOMAIN-SPECIFIC MODELS;;;EXTERNAL;DESKTOP;INS;VCS;;;TECH;HUMAN-HUMAN;ASYNC;YES;SYNTACTIC;GENERIC;CENTRALIZED;;YES;YES;MANUAL, AUTO;STRONG EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;SAMEPLACE;ASYNCHRONOUS;;;;;;
C24;MODELDELTAS;3;M1, M2;PROJECTIVE;MULTI-USER SINGLE-VIEW;UML;;EMF;;;GRA;DESKTOP;INS;;MODELER;;TECH;HUMAN-HUMAN;REAL-TIME, OFF-LINE AUTOMATED CHANGE PROPAGATION;;SYNTACTIC;EXTERNAL: GENERIC VCS;CENTRALIZED;;YES;;;STRONG EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;;COMMIT MESSAGES;;;;
C2;MODELSHARE;1;M2, M1;PROJECTIVE;MULTI-VIEW MULTI-MODEL;;INFER;MODELVERSE;ELEM;;GRA;BROWSER;RTU;UPED, USER_ACTION;MODELER;;TECH;HUMAN-HUMAN;REAL-TIME;YES;SEMANTIC;;;;;YES;SEMIAUTOMATED;STRONG;;;;CENTRALIZED: MULTIPLE SERVERS;REMOTE;SYNCHRONOUS;CALLFORATTENTION;;;;;
31;NETSKETCHER;1;M1;;MULTI-USER SINGLE-VIEW;BPMN;;CUSTOM;;;SKE;MOBILE;INS;UPED, USERS, COLORS;;ANALYST, PROCESS STAKEHOLDER;TECH;HUMAN-HUMAN;SYNCH;PART;SYNTACTIC;;;;;;;STRONG;;;;MIXED;SAMEPLACE;ASYNCHRONOUS;ANNOTATIONS;;;ANNOTATIONS;;
C30;NETO;1;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;UML;;UML;;;GRA;BROWSER;RTU;POINTERS, OVER, DASHBOARD;MODELER;;TECH;HUMAN-HUMAN;REAL-TIME;;SYNTACTIC;;;;;;;STRONG;;ALLOW&RESOLVE;;CENTRALIZED: SINGLE SERVER;SAMEPLACE;SYNCHRONOUS;CHAT, AUDIO;;;;CHAT;
42;ODYSSEY;4;M1;;MULTI-USER SINGLE-VIEW;UML;;UML;;;GRA, TREE;DESKTOP;INS;VCS, NTF;;;TECH;HUMAN-HUMAN;ASYNC;YES;SYNTACTIC;ADHOC;CENTRALIZED;;YES;YES;MANUAL;STRONG;WARNING;;;CENTRALIZED: SINGLE SERVER;REMOTE;;;;;;;
41;POUNAMU-MARAMA;8;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;;IMPORT;UML;ELEM;CONSTRAINTS, OCLCHECKER, CRITICS;GRA, TREE, SKE;DESKTOP;INS, RTU;UPED, HSE, USERS, USER_ACTION, COLORS;;;TECH;HUMAN-HUMAN;SYNCH, ASYNC;YES;SYNTACTIC;GENERIC;CENTRALIZED;YES;YES;YES;MANUAL;EVENTUAL;;;;MIXED;REMOTE;;;;;;;
19;QUILL;2;M1;;MULTI-USER SINGLE-VIEW;CFR_MBUI;;MAQETTA;;;GRA, TREE;BROWSER;RTU;UPED;SENIOR, JUNIOR;DESIGNER, DEVELOPER, PROGRAMMER, SOFTWARE ARCHITECT, ENGINEER;TECH;HUMAN-HUMAN;SYNCH;PART;SYNTACTIC;;;;;YES;MANUAL;STRONG;;;;CENTRALIZED: SINGLE SERVER;REMOTE;;;;;;;
3;ROSETTA;1;M1;;MULTI-USER SINGLE-VIEW;UML;;UML;;;GRA;BROWSER;RTU;LOCK;FACILITATOR;;TECH;HUMAN-HUMAN;ASYNC;;SYNTACTIC;;;;;;;STRONG;;;PESSIMISTIC: PARTLOCK;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;ANNOTATIONS;;HYPERLINKS;ANNOTATIONS, HYPERLINKS;;
